RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
324,Marlin Klein,TE,HOU,8,BUF,,11,,TE50,,,,,,,,,,,,,,,,37,,,,,20,207,1,10.4,1.2/1.8,,,,,,,1,33.40
325,James Conner,RB,ARI,14,@LAC,29,25,247,RB84,3.0,32,95,1,8,38,1,4.8,2.7/3.0,,,,,,,34,4.0,50,198,1,7,46,,6.6,0.5/0.8,,,,,,,1,33.50
326,Tutu Atwell,WR,LAR,11,SF,28,25,360,WR121,,,,,6,192,1,32.0,0.6/1.5,,,,,,,10,5.3,2,9,,5,69,,13.7,0.3/0.5,,,,,,,1,33.60
327,Kyle Juszczyk,RB,SF,8,@LAR,,15,0,RB85,3.8,17,,,19,,,10.6,1.2/1.9,,,,,,,34,4.5,12,54,,17,141,1,8.3,1.0/1.3,,,,,,,1,33.70
328,Darius Cooper,WR,PHI,10,WAS,14,1,0,WR122,,,,,9,92,,10.2,0.8/0.9,,,,,,,36,,,,,19,203,1,10.9,1.1/1.8,,,,,,,1,33.80
329,Olamide Zaccheaus,WR,ATL,11,@PIT,65,15,374,WR123,6.2,4,25,,39,313,2,8.0,2.4/4.1,,,,,,,41,6.0,2,10,,18,190,2,10.5,1.1/1.8,,,,,,,1,33.90
330,LeQuint Allen Jr.,RB,JAX,7,CLE,20,16,305,RB86,4.1,23,94,,10,54,,5.4,0.6/0.6,,,,,,,39,4.2,10,40,,25,166,1,6.6,1.5/1.9,,,,,,,1,34.00
331,Jordan Whittington,WR,LAR,11,SF,27,25,267,WR124,4.0,3,12,,18,171,,9.5,1.1/1.5,,,,,,,27,5.4,3,18,,12,133,1,11.1,0.7/1.0,,,,,,,1,34.10
332,Ollie Gordon II,RB,MIA,6,@LV,51,20,319.5,RB87,2.8,70,199,3,7,32,1,4.6,0.4/0.5,,,,,,,22,4.1,27,110,1,4,28,,7.1,0.2/0.4,,,,,,,1,34.20
333,Daniel Carlson,K,NO,8,@DET,,,220,K20,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,1,34.30
334,Audric Estime,RB,NO,8,@DET,42,3,320,RB88,4.3,46,198,1,12,103,,8.6,1.7/1.9,,,,,,,11,4.1,16,67,,4,20,,5.0,0.2/0.3,,,,,,,1,34.40
335,Tampa Bay Buccaneers,DST,TB,10,@CIN,,,246,DST32,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,1,34.50
336,Tennessee Titans,DST,TEN,9,NYJ,,,292,DST32,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,1,34.60
337,Christian Kirk,WR,SF,8,@LAR,44,26,281,WR125,,,,,28,239,1,8.5,2.2/4.0,,,,,,,42,,,,,20,262,1,13.0,1.6/2.5,,,,,,,1,34.70
338,Tank Dell,WR,HOU,8,BUF,,3,186,WR126,4.8,9,,,51,,,13.1,3.6/5.8,,,,,,,49,5.0,4,20,,20,249,2,12.5,2.0/3.4,,,,,,,1,34.80
339,Oscar Delp,TE,NO,8,@DET,,16,381,TE51,,,,,,,,,,,,,,,,9,,,,,6,55,,9.2,0.4/0.6,,,,,,,1,34.90
340,Jake Elliott,K,PHI,10,WAS,,,173,K21,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,1,35.00
341,Will Shipley,RB,PHI,10,WAS,13,4,290,RB89,3.5,14,49,,9,56,,6.2,0.6/0.8,,,,,,,7,4.0,11,43,,2,15,,7.7,0.1/0.2,,,,,,,1,35.10
342,Austin Hooper,TE,ATL,11,@PIT,49,5,265,TE52,,,,,21,263,2,12.5,1.3/1.6,,,,,,,22,,,,,11,102,1,9.2,0.6/0.9,,,,,,,1,35.20
343,Konata Mumpfield,WR,LAR,11,SF,20,25,251,WR127,,,,,10,92,1,9.2,0.6/1.4,,,,,,,20,,,,,8,99,1,12.3,0.5/0.9,,,,,,,1,35.30
344,Luke Schoonmaker,TE,DAL,14,@NYG,20,10,0,TE53,,,,,14,132,,9.4,0.8/1.4,,,,,,,24,,,,,12,118,1,9.7,0.7/1.1,,,,,,,1,35.40
345,Andy Borregales,K,NE,11,@SEA,,,0,K22,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,1,35.50
346,Matthew Hibner,TE,,,,,,,TE54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.60
347,Green Bay Packers,DST,GB,11,@MIN,,,222,DST32,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,1,35.70
348,Jaylin Lane,WR,WAS,7,@PHI,29,16,0,WR128,7.0,1,7,,16,225,,14.1,1.1/2.1,,,,,,,42,,,,,16,216,2,13.5,0.9/1.6,,,,,,,1,35.80
349,J.J. McCarthy,QB,MIN,6,GB,125,7,392,QB36,4.9,37,181,4,,,,,,1632,11,12,58%,24.3,11.7,48,4.5,11,50,1,,,,,,717,3,2,62%,34.0,11.3,1,35.90
350,Nate Boerkircher,TE,JAX,7,CLE,,7,,TE55,,,,,,,,,,,,,,,,13,,,,,5,48,1,9.8,0.3/0.4,,,,,,,1,36.00
351,DJ Giddens,RB,IND,13,BAL,10,13,326,RB90,3.7,26,96,,,,,,—/0.2,,,,,,,14,4.1,19,78,,5,34,,6.6,0.3/0.4,,,,,,,1,36.10
352,Elijah Higgins,TE,ARI,14,@LAC,43,19,254,TE56,,,,,30,301,,10.0,1.8/2.2,,,,,,,32,,,,,19,169,1,8.9,1.1/1.6,,,,,,,1,36.20
353,Cade Stover,TE,HOU,8,BUF,14,11,0,TE57,0.8,4,3,,12,76,,6.3,1.3/1.8,,,,,,,6,2.7,3,7,,4,34,,8.6,0.2/0.4,,,,,,,1,36.30
354,Barion Brown,WR,NO,8,@DET,,6,,WR129,,,,,,,,,,,,,,,,7,,,,,4,44,,10.5,0.2/0.4,,,,,,,1,36.40
355,Indianapolis Colts,DST,IND,13,BAL,,,241,DST32,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,1,36.50
356,Ja'Tavion Sanders,TE,CAR,5,CHI,40,23,338.5,TE58,,,,,29,190,1,6.6,2.2/2.6,,,,,,,31,,,,,18,158,1,8.8,1.1/1.5,,,,,,,1,36.60
357,Detroit Lions,DST,DET,6,NO,,,228,DST32,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,1,36.70
358,Cleveland Browns,DST,CLE,11,@JAX,,,211,DST32,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,1,36.80
