RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
23,Chris Olave,WR,NO,8,@DET,218,6,25,WR11,-3.0,1,-3,,100,1163,9,11.6,6.3/9.8,,,1,,0.1,,198,,,,,84,1078,8,12.8,4.9/8.4,,,,,,,36,3.30
24,Javonte Williams,RB,DAL,14,@NYG,225,5,33,RB12,4.8,252,1201,11,35,137,2,3.9,2.2/3.2,,,,,,,233,4.4,283,1231,10,35,203,2,5.9,2.0/2.8,,,,,,,35,3.40
25,Kyren Williams,RB,LAR,11,SF,245,8,31,RB13,4.8,259,1252,10,36,281,3,7.8,2.1/2.9,,,,,,,226,4.6,248,1133,11,29,201,2,6.9,1.7/2.4,,,,,,,35,3.50
26,Ashton Jeanty,RB,LV,13,MIA,218,32,16,RB14,3.7,266,975,5,55,346,5,6.3,3.2/4.3,,,,,,,226,4.1,237,979,7,59,442,2,7.5,3.9/5.1,,,,,,,34,3.60
27,Malik Nabers,WR,NYG,8,DAL,48,9,22,WR12,,,,,18,271,2,15.1,4.5/8.8,,,,,,,188,,,,,79,1060,7,13.4,4.9/8.6,,,,,,,33,3.70
28,Trey McBride,TE,ARI,14,@LAC,253,19,29,TE2,,,,,126,1239,11,9.8,7.4/9.9,,,,,,,196,,,,,109,1053,6,9.7,6.4/8.9,,,,,,,32,3.80
29,Travis Etienne Jr.,RB,NO,8,@DET,236,3,40,RB15,4.3,260,1107,7,36,292,6,8.1,2.1/3.1,,,,,,,227,4.3,258,1102,8,45,339,2,7.5,2.6/3.5,,,,,,,31,3.90
30,Devonta Smith,WR,PHI,10,WAS,163,1,27,WR13,,,,,77,1008,4,13.1,4.5/6.6,,,,,,,201,,,,,86,1099,8,12.8,5.1/7.6,,,,,,,30,4.00
31,Zay Flowers,WR,BAL,13,@IND,200,19,32,WR14,6.2,10,62,1,86,1211,5,14.1,5.1/6.9,,,,,,,210,6.1,10,62,1,85,1197,6,14.1,5.0/7.4,,,,,,,30,4.10
32,D'Andre Swift,RB,CHI,10,@CAR,212,26,44,RB16,4.9,223,1087,9,34,299,1,8.8,2.1/3.0,,,,,,,217,4.6,246,1124,8,36,326,1,9.1,2.1/3.1,,,,,,,30,4.20
33,Breece Hall,RB,NYJ,13,@TEN,190,23,30,RB17,4.4,243,1065,4,36,350,1,9.7,2.3/3.0,4,1,,100%,0.1,4.0,230,4.4,255,1114,6,52,447,2,8.6,3.1/3.9,,,,,,,30,4.30
34,Ladd McConkey,WR,LAC,7,ARI,148,31,34,WR15,,,,,66,789,6,12.0,4.1/6.6,,,,,,,191,,,,,83,1073,7,12.9,4.9/7.5,,,,,,,29,4.40
35,Tee Higgins,WR,CIN,6,TB,182,8,35,WR16,,,,,59,846,11,14.3,3.9/6.5,,,,,,,195,,,,,79,1017,9,12.9,4.6/7.6,,,,,,,28,4.50
36,Jeremiyah Love,RB,ARI,14,@LAC,,25,28,RB18,,,,,,,,,,,,,,,,220,4.4,219,964,7,55,419,2,7.6,3.2/4.2,,,,,,,28,4.60
37,Josh Allen,QB,BUF,7,@HOU,365,20,38,QB1,5.2,112,579,14,,,,,,3668,25,10,69%,27.1,11.5,388,5.1,114,586,13,,,,,,4078,27,10,67%,30.4,11.6,28,4.70
38,Rashee Rice,WR,KC,5,DEN,124,30,26,WR17,4.0,5,20,1,53,571,5,10.8,6.6/9.8,,,,,,,208,4.7,7,32,,98,1133,7,11.6,5.8/8.4,,,,,,,27,4.80
39,Garrett Wilson,WR,NYJ,13,@TEN,82,23,39,WR18,,,,,36,395,4,11.0,5.1/8.4,,,,,,,191,5.2,2,9,,95,1064,6,11.2,5.6/8.7,,,,,,,27,4.90
40,Bucky Irving,RB,TB,10,@CIN,124,18,52,RB19,3.4,173,588,1,30,277,3,9.2,3.0/3.5,,,,,,,204,4.1,241,986,8,35,283,2,8.1,2.1/2.6,,,,,,,26,5.00
41,Davante Adams,WR,LAR,11,SF,193,25,51,WR19,,,,,60,789,14,13.2,4.3/8.1,,,,,,,188,,,,,67,884,11,13.2,3.9/7.1,,,,,,,26,5.10
42,Jaylen Waddle,WR,DEN,10,@KC,162,29,37,WR20,14.0,2,28,,64,910,6,14.2,4.0/6.3,8,,,100%,0.1,8.0,187,5.4,3,18,,79,1038,7,13.1,4.6/7.6,,,,,,,25,5.20
43,Colston Loveland,TE,CHI,10,@CAR,136,30,42,TE3,-2.0,1,-2,,58,713,6,12.3,3.6/5.1,,,,,,,168,,,,,81,914,6,11.3,4.8/7.3,,,,,,,24,5.30
44,Luther Burden III,WR,CHI,10,@CAR,104,27,43,WR21,6.2,6,37,,47,652,2,13.9,3.1/4.0,,,,,,,187,5.5,7,37,,79,1021,7,12.9,4.6/7.5,,,,,,,24,5.40
45,Jameson Williams,WR,DET,6,NO,187,14,50,WR22,2.0,6,12,,65,1117,7,17.2,3.8/6.0,,,,,,,195,6.0,7,41,1,67,1095,7,16.3,3.9/6.4,,,,,,,24,5.50
46,Emeka Egbuka,WR,TB,10,@CIN,164,11,36,WR23,4.5,2,9,,63,938,6,14.9,3.7/7.5,,,,,,,188,5.7,2,10,,68,1047,8,15.3,4.0/7.2,,,,,,,24,5.60
47,Tetairoa McMillan,WR,CAR,5,CHI,176,20,41,WR24,,,,,70,1014,7,14.5,4.1/7.2,,,,,,,187,,,,,78,1059,7,13.6,4.6/7.6,,,,,,,24,5.70
48,Terry Mclaurin,WR,WAS,7,@PHI,95,16,48,WR25,,,,,38,582,3,15.3,3.8/6.0,,,,,,,173,,,,,74,995,6,13.5,4.4/6.6,,,,,,,23,5.80
49,DJ Moore,WR,BUF,7,@HOU,145,21,54,WR26,5.3,15,79,1,50,682,6,13.6,2.9/5.0,2,1,,100%,0.1,2.0,163,5.2,5,27,,66,915,6,13.9,3.9/6.2,,,,,,,23,5.90
50,David Montgomery,RB,HOU,8,BUF,155,11,47,RB20,4.5,158,716,8,24,192,,8.0,1.4/1.7,3,1,,50%,0.1,3.0,189,4.3,218,933,9,29,215,1,7.4,1.7/2.2,,,,,,,22,6.00
51,Lamar Jackson,QB,BAL,13,@IND,215,16,58,QB2,5.2,67,349,2,,,,,,2549,21,7,64%,23.2,13.3,350,5.5,128,709,5,,,,,,3922,28,10,66%,28.4,12.3,22,6.10
52,Cam Skattebo,RB,NYG,8,DAL,116,9,46,RB21,4.1,101,410,5,24,207,2,8.6,3.0/4.0,,,,,,,209,4.2,234,971,8,41,310,2,7.6,2.4/3.1,,,,,,,21,6.20
53,Parker Washington,WR,JAX,7,CLE,144,4,56,WR27,,7,,,58,847,5,14.6,3.6/5.9,,,,,,,165,5.6,10,57,,69,947,5,13.7,4.1/6.8,,,,,,,21,6.30
54,Mike Evans,WR,SF,8,@LAR,70,26,53,WR28,,,,,30,368,3,12.3,3.8/7.6,,,,,,,162,,,,,55,866,8,15.7,3.2/5.8,,,,,,,21,6.40
55,Jadarian Price,RB,SEA,11,NE,,6,60,RB22,,,,,,,,,,,,,,,,196,4.2,216,907,9,31,241,2,7.8,1.8/2.5,,,,,,,20,6.50
56,Christian Watson,WR,GB,11,@MIN,115,12,57,WR29,3.0,1,3,,35,611,6,17.5,3.5/5.5,,,,,,,165,5.9,3,20,,59,916,7,15.5,3.5/6.1,,,,,,,20,6.60
57,Jalen Hurts,QB,PHI,10,WAS,299,1,71,QB3,4.0,105,421,8,,,,,,3224,25,6,65%,28.4,11.0,340,4.1,130,527,9,,,,,,3694,26,9,65%,28.9,11.3,20,6.70
58,Rhamondre Stevenson,RB,NE,11,@SEA,163,24,67,RB23,4.6,130,603,7,32,345,2,10.8,2.3/2.6,,,,,,,191,4.4,191,844,8,37,282,2,7.6,2.2/2.7,,,,,,,19,6.80
59,Quinshon Judkins,RB,CLE,11,@JAX,157,7,55,RB24,3.6,230,827,7,26,171,,6.6,1.9/2.6,,,,,,,216,4.0,302,1214,8,35,237,1,6.8,2.0/2.8,,,,,,,19,6.90
60,Jayden Daniels,QB,WAS,7,@PHI,114,10,70,QB4,4.8,58,278,2,,,,,,1262,8,3,61%,26.9,11.1,330,5.1,123,622,5,,,,,,4003,25,11,67%,30.9,11.1,18,7.00
61,Bhayshul Tuten,RB,JAX,7,CLE,84,16,49,RB25,3.7,83,307,5,10,79,2,7.9,0.7/0.9,,,,,,,193,4.2,231,961,7,34,254,2,7.5,2.0/2.9,,,,,,,18,7.10
62,Tyler Warren,TE,IND,13,BAL,151,13,63,TE4,1.3,6,8,1,76,817,4,10.8,4.5/6.6,,,,,0.1,,171,2.3,9,20,1,87,898,5,10.3,5.1/7.0,,,,,,,17,7.20
63,Marvin Harrison Jr.,WR,ARI,14,@LAC,107,18,65,WR30,,,,,41,608,4,14.8,3.4/6.1,,,,,,,172,,,,,71,1003,6,14.1,4.2/7.5,,,,,,,16,7.30
64,Rico Dowdle,RB,PIT,9,ATL,197,21,83,RB26,4.6,236,1076,6,39,297,1,7.6,2.3/2.9,,,,,,,179,4.3,228,992,6,31,228,1,7.3,1.8/2.5,,,,,,,16,7.40
65,Rome Odunze,WR,CHI,10,@CAR,124,27,59,WR31,,,,,44,661,6,15.0,3.7/7.5,,,,,,,182,,,,,67,1063,7,15.9,3.9/8.0,,,,,,,15,7.50
66,Joe Burrow,QB,CIN,6,TB,135,12,68,QB5,2.9,14,41,,,,,,,1809,17,5,67%,32.4,10.5,322,3.6,45,161,1,,,,,,4349,37,11,68%,35.5,10.6,15,7.60
67,Drake Maye,QB,NE,11,@SEA,352,22,66,QB6,4.4,103,450,4,1,2,,2.0,0.1/0.1,4394,31,8,72%,28.9,12.4,328,5.0,102,511,4,,,,,,4212,27,12,68%,31.1,11.7,14,7.70
68,Jaylen Warren,RB,PIT,9,ATL,197,21,69,RB27,4.5,211,958,6,40,333,2,8.3,2.5/2.8,,,,,,,170,4.4,189,821,4,41,315,2,7.7,2.4/3.1,,,,,,,14,7.80
69,MarShawn Lloyd,RB,GB,11,@MIN,,17,138,RB28,2.5,6,,,1,,,3.0,1.0/1.0,,,,,,,129,4.1,158,641,6,19,137,1,7.2,1.1/1.5,,,,,,,14,7.90
70,Sam Laporta,TE,DET,6,NO,87,26,91,TE5,,,,,40,489,3,12.2,4.4/5.4,,,,,,,160,,,,,74,810,7,10.9,4.4/6.0,,,,,,,14,8.00
71,TreVeyon Henderson,RB,NE,11,@SEA,189,24,61,RB29,5.1,180,911,9,35,221,1,6.3,2.1/2.5,,,,,,,171,4.5,173,772,6,38,269,2,7.1,2.2/2.8,,,,,,,14,8.10
72,Justin Herbert,QB,LAC,7,ARI,287,23,84,QB7,6.0,83,498,2,,,,,,3727,26,13,66%,32.0,11.0,321,4.8,81,386,3,,,,,,4111,30,10,66%,32.8,11.1,14,8.20
73,Caleb Williams,QB,CHI,10,@CAR,317,30,72,QB8,5.0,77,383,3,2,22,1,11.0,0.1/0.1,3942,27,7,58%,33.4,11.9,316,5.5,74,401,3,,,,,,4197,27,9,61%,33.8,12.0,13,8.30
74,Trevor Lawrence,QB,JAX,7,CLE,338,3,86,QB9,4.4,82,359,9,,,,,,4007,29,12,61%,32.9,11.8,324,4.5,78,353,6,,,,,,4166,27,11,62%,33.8,11.5,13,8.40
75,Dak Prescott,QB,DAL,14,@NYG,314,5,79,QB10,3.3,53,177,2,,,,,,4552,30,10,67%,35.3,11.3,323,3.9,52,202,2,,,,,,4470,33,10,67%,34.4,11.3,12,8.50
76,Tucker Kraft,TE,GB,11,@MIN,101,29,76,TE6,3.0,1,3,,32,489,6,15.3,4.0/5.5,,,,,,,152,,,,,65,779,7,12.0,3.8/5.4,,,,,,,11,8.60
77,Jayden Reed,WR,GB,11,@MIN,39,12,78,WR32,9.3,3,28,,19,207,1,10.9,2.7/3.1,,,,,,,155,7.6,10,78,,70,819,5,11.7,4.1/6.0,,,,,,,11,8.70
78,Brian Thomas Jr.,WR,JAX,7,CLE,115,4,64,WR33,7.0,3,21,1,48,707,2,14.7,3.4/6.5,,,,,,,148,6.3,3,21,,58,864,5,14.9,3.4/6.2,,,,,,,10,8.80
79,Tony Pollard,RB,TEN,9,NYJ,169,14,77,RB30,4.5,242,1082,5,33,206,,6.2,1.9/2.4,,,,,,,163,4.4,201,882,6,30,183,1,6.2,1.7/2.3,,,,,,,10,8.90
80,J.K. Dobbins,RB,DEN,10,@KC,110,29,95,RB31,5.0,153,772,4,11,37,,3.4,1.1/1.4,,,,,,,183,4.6,223,1022,9,19,116,1,6.0,1.1/1.5,,,,,,,10,9.00
81,Blake Corum,RB,LAR,11,SF,118,8,87,RB32,5.1,145,746,6,8,36,,4.5,0.5/0.8,,,,,,,153,4.6,171,782,8,17,119,1,7.0,1.0/1.5,,,,,,,10,9.10
82,Chris Godwin Jr.,WR,TB,10,@CIN,67,11,85,WR34,,,,,33,360,2,10.9,3.7/5.7,,,,,,,160,,,,,75,868,6,11.5,4.4/6.7,,,,,,,10,9.20
83,Jonathon Brooks,RB,CAR,5,CHI,,31,75,RB33,2.4,9,,,3,,,7.7,1.0/1.0,,,,,,,133,4.2,147,612,4,33,250,1,7.6,1.9/2.6,,,,,,,9,9.30
84,Jordan Addison,WR,MIN,6,GB,114,2,89,WR35,40.5,2,81,1,42,610,3,14.5,3.0/5.6,,,,,,,160,6.2,2,11,,66,901,6,13.7,3.9/6.5,,,,,,,9,9.40
85,DK Metcalf,WR,PIT,9,ATL,158,24,74,WR36,6.0,2,12,1,59,850,6,14.4,3.9/6.6,,,,,,,157,,,,,63,896,6,14.2,3.7/6.4,,,,,,,8,9.50
86,Quentin Johnston,WR,LAC,7,ARI,146,31,73,WR37,3.5,2,7,,51,735,8,14.4,3.6/6.1,,,,,,,153,4.5,2,8,,59,863,6,14.5,3.5/5.8,,,,,,,8,9.60
87,Chuba Hubbard,RB,CAR,5,CHI,110,31,98,RB34,3.8,134,511,1,30,223,3,7.4,2.0/2.6,,,,,,,183,4.1,228,931,6,39,281,1,7.2,2.3/3.0,,,,,,,8,9.70
88,Brock Purdy,QB,SF,8,@LAR,177,24,103,QB11,4.5,33,147,3,,,,,,2167,20,10,69%,31.6,11.0,323,4.4,66,289,3,,,,,,4390,31,12,67%,32.5,11.8,8,9.80
89,Josh Downs,WR,IND,13,BAL,107,17,82,WR38,-1.0,2,-2,,58,566,4,9.8,3.6/5.5,,,,,,,161,6.0,2,10,,80,839,6,10.5,4.7/6.9,,,,,,,7,9.90
90,Carnell Tate,WR,TEN,9,NYJ,,7,62,WR39,,,,,,,,,,,,,,,,146,,,,,61,849,5,13.9,3.6/6.1,,,,,,,7,10.00
91,Courtland Sutton,WR,DEN,10,@KC,183,29,81,WR40,,,,,74,1017,7,13.7,4.4/7.3,,,,,,,162,,,,,65,872,7,13.4,3.8/6.9,,,,,,,7,10.10
92,Jordan Mason,RB,MIN,6,GB,122,10,96,RB35,4.8,159,758,6,14,51,,3.6,0.9/1.0,,,,,,,135,4.5,180,806,6,16,100,,6.2,0.9/1.3,,,,,,,7,10.20
93,RJ Harvey,RB,DEN,10,@KC,183,29,88,RB36,3.7,146,540,7,47,356,5,7.6,2.8/3.4,,,,,0.1,,147,4.1,115,473,4,46,342,3,7.4,2.7/3.5,,,,,,,7,10.30
94,Matthew Stafford,QB,LAR,11,SF,350,17,112,QB12,,29,1,,,,,,,4707,46,8,65%,35.1,12.1,313,1.3,28,35,,,,,,,4379,38,9,65%,33.6,11.8,7,10.40
95,Jacory Croskey-Merritt,RB,WAS,7,@PHI,136,2,100,RB37,4.6,175,805,8,9,68,,7.6,0.5/0.8,,,,,,,133,4.3,182,788,6,15,106,,7.1,0.9/1.1,,,,,,,6,10.50
96,Michael Pittman Jr.,WR,PIT,9,ATL,162,24,101,WR41,,,,,80,784,7,9.8,4.7/6.5,,,,,,,149,,,,,78,795,5,10.2,4.6/7.2,,,,,,,6,10.60
97,Stefon Diggs,WR,WAS,7,@PHI,168,16,94,WR42,,,,,85,1013,4,11.9,5.0/6.0,,,,,,,149,,,,,72,828,5,11.5,4.2/6.0,,,,,,,6,10.70
98,Patrick Mahomes II,QB,KC,5,DEN,285,27,97,QB13,6.6,64,422,5,1,-10,,-10.0,0.1/0.1,3587,22,11,63%,35.9,11.4,290,5.1,51,260,3,,,,,,4088,26,11,65%,32.8,11.1,6,10.80
99,Michael Wilson,WR,ARI,14,@LAC,182,18,92,WR43,,,,,78,1006,7,12.9,4.6/7.4,,,,,,,142,,,,,65,797,5,12.3,3.8/6.4,,,,,,,6,10.90
100,Matthew Golden,WR,GB,11,@MIN,56,12,99,WR44,4.9,10,49,,29,361,,12.4,2.1/3.1,,,,,,,143,6.6,7,45,,64,821,4,12.8,3.8/5.9,,,,,,,6,11.00
101,Jaxson Dart,QB,NYG,8,DAL,242,9,104,QB14,5.7,86,487,9,,,,,,2272,15,5,64%,24.2,10.5,314,5.6,105,584,6,,,,,,3749,23,11,65%,30.4,11.2,6,11.10
102,Jared Goff,QB,DET,6,NO,297,18,113,QB15,2.4,19,45,,,,,,,4564,34,8,68%,34.0,11.6,308,1.7,25,43,1,,,,,,4595,34,11,68%,34.5,11.5,6,11.20
103,Kenneth Gainwell,RB,TB,10,@CIN,185,18,109,RB38,4.7,114,537,5,73,486,3,6.7,4.3/5.0,,,,,,,158,4.5,116,522,4,53,367,3,6.9,3.1/4.0,,,,,,,6,11.30
104,Baker Mayfield,QB,TB,10,@CIN,272,28,122,QB16,6.9,55,382,1,,,,,,3693,26,11,63%,31.9,10.8,300,5.9,56,328,2,,,,,,4130,28,11,65%,33.4,11.2,6,11.40
105,Jordan Love,QB,GB,11,@MIN,235,19,117,QB17,4.2,47,199,,,,,,,3381,23,6,66%,29.3,11.6,290,4.1,49,199,1,,,,,,4294,28,10,65%,32.6,11.8,6,11.50
106,Xavier Worthy,WR,KC,5,DEN,89,30,107,WR45,7.9,11,87,,42,532,1,12.7,3.0/5.2,,,,,,,162,6.8,17,116,1,61,835,5,13.7,3.6/6.1,,,,,,,6,11.60
107,Harold Fannin Jr.,TE,CLE,11,@JAX,150,2,105,TE7,1.9,7,13,1,72,731,6,10.2,4.5/6.7,,,,,,,155,2.8,7,19,,87,855,4,9.8,5.1/7.5,,,,,,,6,11.70
108,Bo Nix,QB,DEN,10,@KC,305,29,106,QB18,4.3,83,356,5,,,,,—/0.1,3931,25,11,63%,36.0,10.1,310,4.4,81,354,4,,,,,,4010,28,11,64%,33.6,10.8,6,11.80
109,Alec Pierce,WR,IND,13,BAL,160,17,93,WR46,,,,,47,1003,6,21.3,3.1/5.6,,,,,,,144,,,,,55,865,5,15.9,3.2/5.5,,,,,,,6,11.90
110,Kyle Pitts Sr.,TE,ATL,11,@PIT,167,5,102,TE8,,,,,88,928,5,10.5,5.2/6.9,,,,,,,142,,,,,73,754,5,10.3,4.3/6.5,,,,,,,6,12.00
111,George Kittle,TE,SF,8,@LAR,133,27,114,TE9,-3.0,1,-3,,57,628,7,11.0,5.2/6.3,,,,,,,137,,,,,67,732,5,10.9,4.2/5.6,,,,,,,6,12.10
112,Chris Rodriguez Jr.,RB,JAX,7,CLE,91,16,123,RB39,4.5,112,500,6,3,30,,10.0,0.2/0.3,,,,,,,95,4.4,109,481,6,4,31,1,7.2,0.3/0.4,,,,,,,6,12.20
113,KC Concepcion,WR,CLE,11,@JAX,,5,111,WR47,,,,,,,,,,,,,,,,146,5.5,5,28,,68,848,4,12.5,4.0/6.6,,,,,,,6,12.30
114,Makai Lemon,WR,PHI,10,WAS,,1,80,WR48,,,,,,,,,,,,,,,,107,4.2,5,21,,47,572,4,12.2,2.8/4.6,,,,,,,6,12.40
115,Kyler Murray,QB,MIN,6,GB,78,7,115,QB19,6.0,29,173,1,,,,,,962,6,3,68%,32.2,8.7,278,6.1,78,474,3,,,,,,3614,22,10,68%,29.6,10.6,6,12.50
116,Dalton Kincaid,TE,BUF,7,@HOU,107,24,120,TE10,,,,,39,571,5,14.6,3.3/4.1,,,,,,,142,,,,,66,791,5,12.0,3.9/5.4,,,,,,,6,12.60
117,Romeo Doubs,WR,NE,11,@SEA,138,28,118,WR49,,,,,55,724,6,13.2,3.4/5.3,,,,,,,141,,,,,62,797,5,12.9,3.6/5.4,,,,,,,6,12.70
118,De'Zhaun Stribling,WR,SF,8,@LAR,,26,110,WR50,,,,,,,,,,,,,,,,83,,,,,34,477,3,14.0,2.0/3.3,,,,,,,6,12.80
119,Rachaad White,RB,WAS,7,@PHI,123,2,119,RB40,4.3,132,572,4,40,218,,5.4,2.4/2.6,,,,,,,151,4.2,144,608,4,47,308,2,6.6,2.8/3.3,,,,,,,6,12.90
120,Josh Jacobs,RB,GB,11,@MIN,219,17,45,RB41,4.0,234,929,13,36,282,1,7.8,2.4/2.9,,,,,,,129,4.1,146,594,6,21,166,1,7.9,2.3/3.1,,,,,,,5,13.00
121,Travis Kelce,TE,KC,5,DEN,155,14,124,TE11,1.0,1,1,,76,851,5,11.2,4.5/6.4,,,,,,,153,,,,,76,788,6,10.4,4.5/6.4,,,,,,,5,13.10
122,Jalen Coker,WR,CAR,5,CHI,74,20,129,WR51,,,,,33,394,3,11.9,3.0/3.9,,,,,,,176,,,,,83,980,6,11.8,4.9/7.4,,,,,,,5,13.20
123,Malik Willis,QB,MIA,6,@LV,51,26,133,QB20,5.6,22,123,2,,,,,,422,3,,86%,8.8,14.1,284,5.3,115,614,4,,,,,,3712,18,11,65%,30.8,10.8,5,13.30
124,Wan'dale Robinson,WR,TEN,9,NYJ,172,7,116,WR52,1.7,3,5,,92,1014,4,11.0,5.8/8.8,,,,,,,125,5.4,7,37,,68,692,3,10.2,4.0/6.1,,,,,,,5,13.40
125,Jakobi Meyers,WR,JAX,7,CLE,138,4,121,WR53,2.6,5,13,,75,835,3,11.1,4.7/6.9,,,,,,,142,5.7,5,29,,67,752,5,11.2,3.9/6.2,,,,,,,5,13.50
126,Dallas Goedert,TE,PHI,10,WAS,155,1,132,TE12,,,,,60,591,11,9.8,4.0/5.5,,,,,,,148,,,,,69,712,7,10.3,4.1/5.5,,,,,,,5,13.60
127,Mark Andrews,TE,BAL,13,@IND,107,3,134,TE13,4.8,10,48,1,48,422,5,8.8,2.8/4.1,,,,,,,166,3.4,9,28,1,66,703,9,10.7,3.9/5.4,,,,,,,5,13.70
128,Kyle Monangai,RB,CHI,10,@CAR,138,26,108,RB42,4.6,169,783,5,18,164,,9.1,1.1/1.8,,,,,,,152,4.4,184,804,6,22,185,1,8.4,1.3/1.9,,,,,,,5,13.80
129,Khalil Shakir,WR,BUF,7,@HOU,130,21,131,WR54,5.0,1,5,,72,719,4,10.0,4.5/5.9,,,,,,,137,6.0,2,10,,71,765,4,10.8,4.2/5.6,,,,,,,5,13.90
130,Juwan Johnson,TE,NO,8,@DET,141,16,140,TE14,,,,,77,889,3,11.5,4.5/6.0,,,,,,,135,,,,,70,763,4,10.9,4.1/5.8,,,,,,,5,14.00
131,Daniel Jones,QB,IND,13,BAL,226,8,144,QB21,3.6,45,164,5,,,,,,3101,19,8,68%,29.5,11.9,289,4.1,64,263,4,,,,,,4013,25,11,68%,32.2,10.9,5,14.10
132,Tyler Shough,QB,NO,8,@DET,158,11,126,QB22,4.1,45,186,3,,,,,,2384,10,6,68%,29.7,10.8,297,4.3,72,312,4,,,,,,4033,25,10,67%,33.4,10.7,4,14.20
133,Rashid Shaheed,WR,SEA,11,NE,115,13,135,WR55,7.7,9,69,,59,687,2,11.6,3.3/5.1,,,,,,,127,6.6,12,79,1,53,623,4,11.8,3.1/5.2,,,,,,,4,14.30
134,Isaiah Likely,TE,NYG,8,DAL,48,6,125,TE15,,,,,27,307,1,11.4,1.9/2.6,,,,,,,145,,,,,71,794,5,11.2,4.2/5.6,,,,,,,4,14.40
135,Tyjae Spears,RB,TEN,9,NYJ,89,14,154,RB43,3.9,72,283,2,45,264,,5.9,3.5/3.8,,,,,,,144,4.1,141,582,3,47,318,2,6.8,2.8/3.4,,,,,,,4,14.50
136,Deebo Samuel Sr.,WR,SF,8,@LAR,152,26,128,WR56,4.4,17,75,1,72,727,5,10.1,4.5/6.2,,,,,,,145,4.4,24,106,1,57,694,5,12.2,3.4/5.0,,,,,,,4,14.60
137,Tank Bigsby,RB,PHI,10,WAS,52,4,151,RB44,5.7,63,356,2,3,32,,10.7,0.2/0.2,,,,,,,83,4.6,93,423,4,13,99,,7.6,0.8/1.1,,,,,,,4,14.70
138,Aaron Jones Sr.,RB,MIN,6,GB,105,10,127,RB45,4.2,132,548,2,28,199,1,7.1,2.3/3.4,,,,,,,165,4.3,151,648,5,47,347,2,7.4,2.8/3.8,,,,,,,4,14.80
139,Keaton Mitchell,RB,LAC,7,ARI,51,28,130,RB46,5.8,59,341,1,9,63,,7.0,0.7/0.9,,,,,,,99,4.7,71,331,3,27,224,2,8.3,1.6/2.2,,,,,,,4,14.90
140,Sam Darnold,QB,SEA,11,NE,235,13,142,QB23,2.7,35,95,,,,,,,4048,25,14,68%,28.1,12.5,273,3.0,41,125,1,,,,,,4212,27,11,67%,31.6,11.8,4,15.00
141,Brandon Aubrey,K,DAL,14,@NYG,,,111,K1,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,4,15.10
142,Jake Ferguson,TE,DAL,14,@NYG,147,10,136,TE16,1.0,1,1,,82,600,8,7.3,4.8/6.0,,,,,,,122,,,,,69,575,5,8.3,4.1/5.5,,,,,,,4,15.20
143,Jordyn Tyson,WR,NO,8,@DET,,6,90,WR57,,,,,,,,,,,,,,,,105,,,,,49,568,4,11.6,4.9/7.1,,,,,,,4,15.30
144,Woody Marks,RB,HOU,8,BUF,139,11,137,RB47,3.6,196,703,3,24,208,3,8.7,1.5/2.3,,,,,,,114,4.1,145,587,3,23,196,1,8.5,1.4/2.0,,,,,,,3,15.40
145,Brenton Strange,TE,JAX,7,CLE,95,7,150,TE17,,,,,46,540,3,11.7,3.8/5.0,,,,,,,113,,,,,57,603,4,10.6,3.4/4.9,,,,,,,3,15.50
146,Tyler Allgeier,RB,ARI,14,@LAC,116,25,139,RB48,3.6,143,514,8,14,96,,6.9,0.8/0.9,,,,,,,87,3.9,112,440,4,16,108,,6.8,0.9/1.3,,,,,,,3,15.60
147,Mike Washington Jr.,RB,LV,13,MIA,,32,145,RB49,,,,,,,,,,,,,,,,82,4.1,108,440,3,16,117,,7.3,0.9/1.3,,,,,,,3,15.70
148,Denzel Boston,WR,CLE,11,@JAX,,5,141,WR58,,,,,,,,,,,,,,,,117,,,,,58,704,3,12.1,3.4/5.8,,,,,,,3,15.80
149,C.J. Stroud,QB,HOU,8,BUF,209,6,146,QB24,4.4,48,209,1,,,,,,3041,19,8,65%,30.2,11.1,270,4.4,56,247,1,,,,,,4020,25,11,64%,32.6,11.2,3,15.90
150,Hunter Henry,TE,NE,11,@SEA,149,21,155,TE18,,,,,60,768,7,12.8,3.5/5.1,,,,,,,123,,,,,58,639,5,11.0,3.4/4.9,,,,,,,3,16.00
151,Tre Tucker,WR,LV,13,MIA,133,32,149,WR59,4.6,11,51,,57,696,5,12.2,3.4/5.4,,,,,,,112,5.6,12,67,,50,624,3,12.5,2.9/5.1,,,,,,,3,16.10
152,Ryan Flournoy,WR,DAL,14,@NYG,94,10,169,WR60,6.2,4,25,,40,475,4,11.9,2.5/3.5,,,,,,,112,5.5,3,19,,48,564,5,11.7,2.8/4.2,,,,,,,3,16.20
