RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
190,Zachariah Branch,WR,ATL,11,@PIT,,15,WR79,,,,,,,,,,,,,,,,81,,,,,41,489,2,11.9,2.4/3.9,,,,,,,,20.00
191,Germie Bernard,WR,PIT,9,ATL,,24,WR80,,,,,,,,,,,,,,,,85,,,,,44,448,3,10.2,2.6/4.2,,,,,,,,20.10
192,Emmett Johnson,RB,KC,5,DEN,,22,RB59,,,,,,,,,,,,,,,,68,4.2,81,343,2,17,128,,7.5,1.0/1.3,,,,,,,,20.20
193,Malachi Fields,WR,NYG,8,DAL,,9,WR81,,,,,,,,,,,,,,,,95,,,,,49,581,2,11.9,2.9/4.4,,,,,,,,20.30
194,Chris Bell,WR,MIA,6,@LV,,22,WR82,,,,,,,,,,,,,,,,89,,,,,40,567,2,14.3,2.3/3.9,,,,,,,,20.40
195,Charlie Kolar,TE,LAC,7,ARI,31,22,TE27,,,,,10,142,2,14.2,0.6/0.9,,,,,,,82,,,,,36,396,4,11.0,2.1/3.2,,,,,,,,20.50
196,Kaelon Black,RB,SF,8,@LAR,,15,RB60,,,,,,,,,,,,,,,,49,4.1,68,281,2,7,52,,7.4,0.4/0.6,,,,,,,,20.60
197,Greg Dulcich,TE,MIA,6,@LV,50,28,TE28,-7.0,1,-7,,26,335,1,12.9,2.6/3.3,,,,,,,116,,,,,58,630,4,10.9,3.4/4.6,,,,,,,,20.70
198,Cooper Kupp,WR,SEA,11,NE,93,13,WR83,,,,,47,593,2,12.6,2.9/4.4,,,1,,0.1,,76,,,,,36,404,3,11.2,2.1/3.3,,,,,,,,20.80
199,Isiah Pacheco,RB,DET,6,NO,78,1,RB61,3.9,118,462,1,19,101,1,5.3,1.5/2.0,,,,,,,83,4.2,103,436,4,13,85,,6.6,0.8/1.1,,,,,,,,20.90
200,Colby Parkinson,TE,LAR,11,SF,108,15,TE29,,,,,43,408,8,9.5,2.9/3.7,,,,,,,80,,,,,37,372,4,10.1,2.2/3.1,,,,,,,,21.00
201,Caleb Douglas,WR,MIA,6,@LV,,22,WR84,,,,,,,,,,,,,,,,103,,,,,47,612,3,13.1,2.8/4.6,,,,,,,,21.10
202,Cyrus Allen,WR,KC,5,DEN,,30,WR85,,,,,,,,,,,,,,,,45,,,,,19,230,2,12.0,1.1/2.2,,,,,,,,21.20
203,Braelon Allen,RB,NYJ,13,@TEN,14,23,RB62,4.2,18,76,1,2,17,,8.5,0.5/0.8,,,,,,,89,4.2,110,464,4,15,108,,7.0,0.9/1.2,,,,,,,,21.30
204,Jacoby Brissett,QB,ARI,14,@LAC,227,15,QB28,4.4,38,168,1,,,,,,3366,23,8,65%,34.6,10.7,189,4.4,34,149,1,,,,,,3099,16,10,64%,34.1,10.8,,21.40
205,Samaje Perine,RB,CIN,6,TB,69,27,RB63,4.5,84,382,3,17,87,,5.1,1.1/1.4,,,,,,,97,4.4,98,432,3,25,175,1,7.1,1.4/1.8,,,,,,,,21.50
206,AJ Barner,TE,SEA,11,NE,121,17,TE30,1.4,10,14,1,52,519,6,10.0,3.1/4.0,,,,,,,103,2.6,9,22,1,47,473,4,10.0,2.8/3.9,,,,,,,,21.60
207,Justice Hill,RB,BAL,13,@IND,55,19,RB64,5.2,18,93,2,21,169,1,8.0,2.1/2.7,,,,,,,89,4.6,45,210,1,36,318,2,8.8,2.1/2.9,,,,,,,,21.70
208,Malik Washington,WR,MIA,6,@LV,88,22,WR86,6.5,17,110,1,46,317,3,6.9,2.7/3.8,,,,,,,94,5.9,15,90,1,48,432,2,9.1,2.8/4.1,,,,,,,,21.80
209,Fernando Mendoza,QB,LV,13,MIA,,32,QB29,,,,,,,,,,,,,,,,134,4.2,27,113,2,,,,,,2026,12,9,63%,33.2,10.7,,21.90
210,Ted Hurst,WR,TB,10,@CIN,,11,WR87,,,,,,,,,,,,,,,,56,,,,,24,319,2,13.6,1.4/2.2,,,,,,,,22.00
211,Jahan Dotson,WR,ATL,11,@PIT,41,15,WR88,,,,,18,262,1,14.6,1.1/2.1,,,,,,,70,,,,,32,415,2,13.0,1.9/3.6,,,,,,,,22.10
212,Andrei Iosivas,WR,CIN,6,TB,73,8,WR89,4.7,3,14,,33,435,2,13.2,1.9/3.4,,,,,,,73,,,,,32,386,3,12.1,1.9/3.1,,,,,,,,22.20
213,Michael Mayer,TE,LV,13,MIA,56,18,TE31,,,,,35,328,1,9.4,2.7/3.8,,,,,,,81,,,,,43,416,3,9.7,2.5/3.6,,,,,,,,22.30
214,Tyquan Thornton,WR,KC,5,DEN,71,30,WR90,,,,,19,438,3,23.1,1.4/2.6,,,,,,,91,,,,,37,551,3,15.1,2.2/4.1,,,,,,,,22.40
215,Mike Gesicki,TE,CIN,6,TB,57,4,TE32,,,,,28,307,2,11.0,2.2/3.2,,,,,,,90,,,,,44,443,4,10.1,2.6/3.8,,,,,,,,22.50
216,Gunnar Helm,TE,TEN,9,NYJ,70,8,TE33,,,,,44,357,2,8.1,2.8/3.4,,,,,,,88,,,,,52,445,3,8.6,3.0/4.3,,,,,,,,22.60
217,Chris Brooks,RB,GB,11,@MIN,26,17,RB65,3.9,27,106,,13,91,,7.0,0.8/1.0,,,,,,,37,4.2,42,174,1,11,78,,7.1,0.6/0.9,,,,,,,,22.70
218,Kimani Vidal,RB,LAC,7,ARI,110,28,RB66,4.1,155,643,3,16,136,1,8.5,1.2/1.7,,,,,,,34,4.1,42,173,1,9,64,,7.1,0.5/0.8,,,,,,,,22.80
219,Emanuel Wilson,RB,SEA,11,NE,87,6,RB67,4.0,125,496,3,15,99,,6.6,0.9/1.0,,,,,,,22,4.2,33,138,,7,48,,6.9,0.4/0.6,,,,,,,,22.90
220,Kaytron Allen,RB,WAS,7,@PHI,,2,RB68,,,,,,,,,,,,,,,,15,4.2,27,113,,3,21,,7.0,0.2/0.2,,,,,,,,23.00
221,Demario Douglas,WR,NE,11,@SEA,80,28,WR91,3.0,7,21,,31,447,3,14.4,1.8/2.7,,,,,,,59,5.2,5,27,,26,315,2,12.0,1.5/2.2,,,,,,,,23.10
222,Nicholas Singleton,RB,TEN,9,NYJ,,14,RB69,,,,,,,,,,,,,,,,20,4.2,25,105,1,3,22,,7.3,0.2/0.2,,,,,,,,23.20
223,Kalif Raymond,WR,CHI,10,@CAR,49,27,WR92,9.5,2,19,,24,289,1,12.0,1.6/2.0,,,,,,,40,5.8,3,20,,21,214,1,10.2,1.2/1.8,,,,,,,,23.30
224,Mack Hollins,WR,NE,11,@SEA,90,28,WR93,4.0,1,4,,46,550,2,12.0,3.1/4.3,,,,,,,45,,,,,23,274,1,11.8,1.4/2.0,,,,,,,,23.40
225,Jonnu Smith,TE,GB,11,@MIN,66,29,TE34,7.8,9,70,1,38,222,2,5.8,2.2/3.2,,,,,,,59,,,,,31,314,2,10.1,1.8/2.6,,,,,,,,23.50
226,Emari Demercado,RB,DAL,14,@NYG,52,5,RB70,7.1,44,312,,13,101,1,7.8,1.0/1.5,,,,,,,34,4.2,41,172,1,8,65,,8.1,0.5/0.6,,,,,,,,23.60
227,Darren Waller,TE,CAR,5,CHI,77,23,TE35,4.0,1,4,,24,283,6,11.8,2.7/3.8,,,,,,,91,,,,,40,412,5,10.3,2.4/3.4,,,,,,,,23.70
228,Demond Claiborne,RB,MIN,6,GB,,10,RB71,,,,,,,,,,,,,,,,25,4.3,33,142,1,4,24,,6.0,0.2/0.3,,,,,,,,23.80
229,Antonio Williams,WR,WAS,7,@PHI,,16,WR94,5.2,12,,,1,,,20.0,1.0/1.0,,,,,,,50,5.0,3,15,,21,262,2,12.5,1.2/2.0,,,,,,,,23.90
230,Geno Smith,QB,NYJ,13,@TEN,174,31,QB30,2.7,41,109,,,,,,,3025,19,17,67%,29.9,10.0,230,3.8,53,203,1,,,,,,3840,19,13,67%,31.9,10.6,,24.00
231,Darnell Mooney,WR,NYG,8,DAL,66,9,WR95,,,,,32,443,1,13.8,2.1/4.8,,,,,,,53,,,,,21,300,2,14.3,1.2/2.4,,,,,,,,24.10
232,Darius Slayton,WR,NYG,8,DAL,80,9,WR96,,,,,37,538,1,14.5,2.6/4.5,,,,,,,54,,,,,22,309,2,14.0,1.3/2.4,,,,,,,,24.20
233,Darnell Washington,TE,PIT,9,ATL,58,12,TE36,,,,,31,364,1,11.7,1.9/2.7,,,,,,,64,,,,,32,363,2,11.3,1.9/2.8,,,,,,,,24.30
234,Seth McGowan,RB,IND,13,BAL,,13,RB72,,,,,,,,,,,,,,,,34,4.1,38,156,1,10,70,,7.1,0.6/0.7,,,,,,,,24.40
235,Xavier Legette,WR,CAR,5,CHI,72,20,WR97,,1,,,35,363,3,10.4,2.3/4.3,,,,,,,74,5.0,2,9,,35,375,3,10.7,2.1/4.0,,,,,,,,24.50
236,Jaylen Wright,RB,MIA,6,@LV,46,20,RB73,4.1,70,288,2,5,44,,8.8,0.5/0.9,,,,,,,52,4.1,66,273,2,10,72,,7.2,0.6/0.8,,,,,,,,24.60
237,Jack Bech,WR,LV,13,MIA,32,32,WR98,,,,,20,224,,11.2,1.3/1.8,,,,,,,65,,,,,32,371,2,11.6,1.9/3.1,,,,,,,,24.70
238,Tua Tagovailoa,QB,ATL,11,@PIT,161,14,QB31,2.2,20,43,,,,,,,2660,20,15,68%,27.4,10.2,67,2.6,5,13,,,,,,,1148,7,4,68%,31.4,10.5,,24.80
239,Kendrick Bourne,WR,ARI,14,@LAC,74,18,WR99,,,,,37,551,,14.9,2.3/3.3,,,,,,,48,,,,,23,248,2,10.8,1.4/2.2,,,,,,,,24.90
240,Sean Tucker,RB,TB,10,@CIN,87,18,RB74,3.7,86,320,7,8,34,1,4.2,0.5/0.6,,,,,,,43,4.1,53,218,3,3,17,,5.5,0.2/0.2,,,,,,,,25.00
241,Jordan James,RB,SF,8,@LAR,,15,RB75,,,,,,,,,,,,,,,,27,4.2,34,142,1,5,40,,7.9,0.3/0.4,,,,,,,,25.10
242,Bryce Lance,WR,NO,8,@DET,,6,WR100,,,,,,,,,,,,,,,,34,,,,,17,195,1,11.6,1.0/1.6,,,,,,,,25.20
243,Evan Engram,TE,DEN,10,@KC,78,20,TE37,7.0,1,7,,50,461,1,9.2,3.1/4.8,,,,,,,73,,,,,43,400,2,9.3,2.5/3.7,,,,,,,,25.30
244,Joshua Palmer,WR,BUF,7,@HOU,41,21,WR101,,,,,22,303,,13.8,1.8/3.1,,,,,,,34,,,,,16,196,1,12.3,0.9/1.6,,,,,,,,25.40
245,David Njoku,TE,LAC,7,ARI,70,22,TE38,,,,,33,293,4,8.9,2.8/4.0,,,,,,,42,,,,,19,200,2,10.4,1.1/1.6,,,,,,,,25.50
246,KaVontae Turpin,WR,DAL,14,@NYG,72,10,WR102,5.2,17,89,,26,396,2,15.2,1.7/2.5,,,,,,,49,5.9,17,100,,15,191,2,13.0,0.9/1.4,,,,,,,,25.60
247,Theo Johnson,TE,NYG,8,DAL,105,6,TE39,,,,,45,528,5,11.7,3.0/4.9,,,,,,,60,,,,,30,326,2,10.8,1.8/2.6,,,,,,,,25.70
248,Greg Dortch,WR,BUF,7,@HOU,61,21,WR103,2.1,7,15,1,29,206,3,7.1,2.4/2.8,,,,,,,46,4.5,5,23,,25,247,1,9.8,1.5/2.0,,,,,,,,25.80
249,James Conner,RB,ARI,14,@LAC,29,25,RB76,3.0,32,95,1,8,38,1,4.8,2.7/3.0,,,,,,,34,4.0,50,198,1,7,46,,6.6,0.5/0.8,,,,,,,,25.90
250,Chimere Dike,WR,TEN,9,NYJ,90,7,WR104,1.6,11,18,,48,423,4,8.8,2.8/4.4,,,,,,,54,5.2,12,62,,23,238,2,10.3,1.4/2.1,,,,,,,,26.00
251,Treylon Burks,WR,WAS,7,@PHI,24,16,WR105,,,,,10,130,1,13.0,1.3/2.8,,,,,,,52,,,,,22,292,2,13.3,1.3/2.3,,,,,,,,26.10
252,Jalen Tolbert,WR,MIA,6,@LV,37,22,WR106,,,,,18,203,1,11.3,1.4/2.6,,,,,,,74,,,,,38,431,2,11.4,2.2/3.8,,,,,,,,26.20
253,Marvin Mims Jr.,WR,DEN,10,@KC,69,29,WR107,6.5,12,78,1,37,322,1,8.7,2.5/3.4,,,,,,,51,4.9,5,25,,22,252,2,11.5,1.3/1.7,,,,,,,,26.30
254,Tank Dell,WR,HOU,8,BUF,,3,WR108,4.8,9,,,51,,,13.1,3.6/5.8,,,,,,,49,5.0,4,20,,20,249,2,12.5,2.0/3.4,,,,,,,,26.40
255,Xavier Hutchinson,WR,HOU,8,BUF,81,3,WR109,7.3,3,22,,35,428,3,12.2,2.1/3.4,,,,,,,34,5.8,2,10,,17,183,1,10.8,1.0/1.9,,,,,,,,26.50
256,George Holani,RB,SEA,11,NE,14,6,RB77,3.3,22,73,1,2,15,,7.5,0.2/0.2,,,,,,,23,4.1,37,150,,7,45,,6.8,0.4/0.5,,,,,,,,26.60
257,Odell Beckham Jr.,WR,NYG,8,DAL,,9,WR110,,,,,9,,,6.1,1.0/2.0,,,,,,,48,,,,,23,240,2,10.4,1.4/2.5,,,,,,,,26.70
258,Cole Kmet,TE,CHI,10,@CAR,64,30,TE40,,,,,30,347,2,11.6,1.9/3.0,,,,,0.1,,63,,,,,29,309,3,10.7,1.7/2.5,,,,,,,,26.80
259,Dawson Knox,TE,BUF,7,@HOU,86,24,TE41,,,,,36,417,4,11.6,2.1/2.9,,,,,,,45,,,,,21,228,2,10.8,1.2/1.9,,,,,,,,26.90
260,Eli Raridon,TE,NE,11,@SEA,,21,TE42,,,,,,,,,,,,,,,,35,,,,,18,201,1,10.9,1.1/1.6,,,,,,,,27.00
261,Troy Franklin,WR,DEN,10,@KC,145,29,WR111,2.4,5,12,,65,709,6,10.9,3.8/6.1,,,,,,,42,5.2,3,18,,16,200,2,12.4,0.9/1.5,,,,,,,,27.10
262,Noah Gray,TE,KC,5,DEN,28,14,TE43,,,,,21,178,,8.5,1.3/2.3,,,,,,,46,,,,,27,266,1,9.7,1.6/2.4,,,,,,,,27.20
263,Elijah Sarratt,WR,BAL,13,@IND,,19,WR112,,,,,,,,,,,,,,,,39,,,,,18,237,1,13.2,1.1/1.8,,,,,,,,27.30
264,Ty Johnson,RB,BUF,7,@HOU,88,30,RB78,4.0,50,200,3,24,263,2,11.0,1.4/1.9,,,,,,,64,4.2,38,159,1,20,195,2,9.8,1.2/1.6,,,,,,,,27.40
265,Brashard Smith,RB,KC,5,DEN,51,22,RB79,3.4,44,151,,25,172,1,6.9,1.5/2.1,,,,,,,8,4.1,7,28,,4,28,,7.6,0.2/0.3,,,,,,,,27.50
266,Elijah Arroyo,TE,SEA,11,NE,29,17,TE44,,,,,15,179,1,11.9,1.2/2.0,,,,,,,50,,,,,23,263,2,11.4,1.4/2.1,,,,,,,,27.60
267,Keon Coleman,WR,BUF,7,@HOU,83,21,WR113,,,,,38,404,4,10.6,2.9/4.5,,,,,,,49,,,,,20,269,2,13.4,1.2/2.1,,,,,,,,27.70
268,Brenen Thompson,WR,LAC,7,ARI,,31,WR114,,,,,,,,,,,,,,,,12,5.0,2,9,,6,76,,12.5,0.4/0.6,,,,,,,,27.80
269,Kaleb Johnson,RB,GB,11,@MIN,8,17,RB80,2.5,28,69,,1,9,,9.0,0.1/0.2,,,,,,,27,4.1,37,150,1,5,34,,6.8,0.3/0.4,,,,,,,,27.90
270,Elic Ayomanor,WR,TEN,9,NYJ,96,7,WR115,,,,,41,515,4,12.6,2.6/5.6,,,,,,,42,,,,,17,218,2,12.7,1.0/1.9,,,,,,,,28.00
271,Skyler Bell,WR,BUF,7,@HOU,,21,WR116,,,,,,,,,,,,,,,,20,,,,,8,104,1,13.3,0.5/0.8,,,,,,,,28.10
272,Erick All Jr.,TE,CIN,6,TB,,4,TE45,,,,,20,,,7.9,2.2/2.4,,,,,,,14,,,,,6,52,1,8.6,0.4/0.5,,,,,,,,28.20
273,Mason Taylor,TE,NYJ,13,@TEN,67,31,TE46,,,,,44,369,1,8.4,3.4/5.0,,,,,,,51,,,,,33,283,1,8.6,1.9/2.8,,,,,,,,28.30
274,Trevor Etienne,RB,CAR,5,CHI,12,31,RB81,4.7,20,94,,3,13,,4.3,0.2/0.2,,,,,,,10,4.2,14,60,,3,22,,7.1,0.2/0.3,,,,,,,,28.40
275,Dyami Brown,WR,WAS,7,@PHI,40,16,WR117,5.0,6,30,,20,227,1,11.4,1.4/2.6,,,,,,,22,,,,,9,113,1,12.6,0.5/0.9,,,,,,,,28.50
276,Malik Benson,WR,LV,13,MIA,,32,WR118,,,,,,,,,,,,,,,,30,,,,,18,152,1,8.4,1.1/2.1,,,,,,,,28.60
277,Tyler Higbee,TE,LAR,11,SF,59,15,TE47,,,,,25,281,3,11.2,2.5/3.6,,,,,,,32,,,,,17,177,1,10.4,1.0/1.6,,,,,,,,28.70
278,Michael Penix Jr.,QB,ATL,11,@PIT,120,14,QB32,3.3,21,70,1,,,,,,1982,9,3,60%,30.7,11.9,189,3.7,14,52,1,,,,,,2945,19,8,62%,31.8,11.4,,28.80
279,Tez Johnson,WR,TB,10,@CIN,78,11,WR119,3.1,7,22,,28,322,5,11.5,1.8/2.8,,,,,,,20,5.9,3,20,,7,86,1,11.7,0.4/0.7,,,,,,,,28.90
280,Jake Tonges,TE,SF,8,@LAR,76,27,TE48,,,,,34,293,5,8.6,2.0/2.7,,,,,,,33,,,,,18,182,1,10.1,1.1/1.5,,,,,,,,29.00
281,Isaiah Davis,RB,NYJ,13,@TEN,61,23,RB82,5.5,43,236,1,21,186,,8.9,1.3/1.8,,,,,,,32,4.7,29,134,1,10,76,,7.6,0.6/0.8,,,,,,,,29.10
282,Kirk Cousins,QB,LV,13,MIA,104,32,QB33,0.5,14,7,1,,,,,,1721,10,5,62%,24.5,10.4,108,1.7,9,14,,,,,,,1919,11,7,66%,34.8,10.5,,29.20
283,Christian Kirk,WR,SF,8,@LAR,44,26,WR120,,,,,28,239,1,8.5,2.2/4.0,,,,,,,42,,,,,20,262,1,13.0,1.6/2.5,,,,,,,,29.30
284,Shedeur Sanders,QB,CLE,11,@JAX,85,2,QB34,8.0,21,169,1,,,,,,1400,7,10,57%,26.5,11.7,126,5.1,25,128,1,,,,,,2090,9,6,62%,29.8,11.1,,29.40
285,Will Shipley,RB,PHI,10,WAS,13,4,RB83,3.5,14,49,,9,56,,6.2,0.6/0.8,,,,,,,7,4.0,11,43,,2,15,,7.7,0.1/0.2,,,,,,,,29.50
286,Zavion Thomas,WR,CHI,10,@CAR,,27,WR121,,,,,,,,,,,,,,,,25,5.0,3,17,,10,125,1,12.3,0.6/1.1,,,,,,,,29.60
287,Olamide Zaccheaus,WR,ATL,11,@PIT,65,15,WR122,6.2,4,25,,39,313,2,8.0,2.4/4.1,,,,,,,41,6.0,2,10,,18,190,2,10.5,1.1/1.8,,,,,,,,29.70
288,LeQuint Allen Jr.,RB,JAX,7,CLE,20,16,RB84,4.1,23,94,,10,54,,5.4,0.6/0.6,,,,,,,39,4.2,10,40,,25,166,1,6.6,1.5/1.9,,,,,,,,29.80
289,Noah Fant,TE,NO,8,@DET,58,16,TE49,,,,,34,288,3,8.5,2.3/2.7,,,,,,,49,,,,,25,242,2,9.7,1.5/1.9,,,,,,,,29.90
290,Kyle Williams,WR,NE,11,@SEA,44,28,WR123,1.5,2,3,,10,209,3,20.9,0.6/1.2,,,,,,,30,,,,,12,176,1,15.0,0.7/1.2,,,,,,,,30.00
291,Jahdae Walker,WR,CHI,10,@CAR,24,27,WR124,,,,,6,87,2,14.5,0.7/1.1,,,,,,,9,,,,,5,62,,13.0,0.3/0.5,,,,,,,,30.10
292,Jaydon Blue,RB,PHI,10,WAS,20,4,RB85,3.4,38,129,1,1,5,,5.0,0.2/0.2,,,,,,,56,4.2,69,285,3,8,57,,7.0,0.5/0.6,,,,,,,,30.20
293,Tory Horton,WR,SEA,11,NE,53,13,WR125,,,,,13,161,5,12.4,1.6/2.8,,,,,,,59,,,,,24,352,2,14.7,2.0/3.5,,,,,,,,30.30
294,Luke Schoonmaker,TE,DAL,14,@NYG,20,10,TE50,,,,,14,132,,9.4,0.8/1.4,,,,,,,24,,,,,12,118,1,9.7,0.7/1.1,,,,,,,,30.40
295,Isaiah Bond,WR,CLE,11,@JAX,46,5,WR126,5.8,5,29,,18,338,,18.8,1.1/2.8,,,,,,,28,6.0,3,20,,10,149,1,14.9,0.6/1.1,,,,,,,,30.50
296,Deshaun Watson,QB,CLE,11,@JAX,,2,QB35,4.8,31,,,,,,,,,,,,30.9,8.4,102,4.3,22,94,1,,,,,,1662,8,6,62%,28.8,10.3,,30.60
297,Carson Beck,QB,ARI,14,@LAC,,15,QB36,,,,,,,,,,,,,,,,57,4.0,13,53,,,,,,,829,6,3,62%,31.0,10.7,,30.70
298,Nick Westbrook-Ikhine,WR,IND,13,BAL,14,17,WR127,,,,,11,89,,8.1,0.7/1.3,,,,,,,,,,,,12,142,1,11.9,0.7/1.2,,,,,,,,30.80
299,Tutu Atwell,WR,LAR,11,SF,28,25,WR128,,,,,6,192,1,32.0,0.6/1.5,,,,,,,10,5.3,2,9,,5,69,,13.7,0.3/0.5,,,,,,,,30.90
300,J.J. McCarthy,QB,MIN,6,GB,125,7,QB37,4.9,37,181,4,,,,,,1632,11,12,58%,24.3,11.7,48,4.5,11,50,1,,,,,,717,3,2,62%,34.0,11.3,,31.00
