RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
111,Jordan Love,QB,GB,11,@MIN,235,19,QB18,4.2,47,199,,,,,,,3381,23,6,66%,29.3,11.6,290,4.1,49,199,1,,,,,,4294,28,10,65%,32.6,11.8,,12.10
112,Jordan Mason,RB,MIN,6,GB,122,10,RB38,4.8,159,758,6,14,51,,3.6,0.9/1.0,,,,,,,135,4.5,180,806,6,16,100,,6.2,0.9/1.3,,,,,,,,12.20
113,Jacory Croskey-Merritt,RB,WAS,7,@PHI,136,2,RB39,4.6,175,805,8,9,68,,7.6,0.5/0.8,,,,,,,133,4.3,182,788,6,15,106,,7.1,0.9/1.1,,,,,,,,12.30
114,Romeo Doubs,WR,NE,11,@SEA,138,28,WR48,,,,,55,724,6,13.2,3.4/5.3,,,,,,,141,,,,,62,797,5,12.9,3.6/5.4,,,,,,,,12.40
115,De'Zhaun Stribling,WR,SF,8,@LAR,,26,WR49,,,,,,,,,,,,,,,,83,,,,,34,477,3,14.0,2.0/3.3,,,,,,,,12.50
116,Jakobi Meyers,WR,JAX,7,CLE,138,4,WR50,2.6,5,13,,75,835,3,11.1,4.7/6.9,,,,,,,142,5.7,5,29,,67,752,5,11.2,3.9/6.2,,,,,,,,12.60
117,Kyler Murray,QB,MIN,6,GB,78,7,QB19,6.0,29,173,1,,,,,,962,6,3,68%,32.2,8.7,278,6.1,78,474,3,,,,,,3614,22,10,68%,29.6,10.6,,12.70
118,KC Concepcion,WR,CLE,11,@JAX,,5,WR51,,,,,,,,,,,,,,,,146,5.5,5,28,,68,848,4,12.5,4.0/6.6,,,,,,,,12.80
119,Wan'dale Robinson,WR,TEN,9,NYJ,172,7,WR52,1.7,3,5,,92,1014,4,11.0,5.8/8.8,,,,,,,125,5.4,7,37,,68,692,3,10.2,4.0/6.1,,,,,,,,12.90
120,Travis Kelce,TE,KC,5,DEN,155,14,TE10,1.0,1,1,,76,851,5,11.2,4.5/6.4,,,,,,,153,,,,,76,788,6,10.4,4.5/6.4,,,,,,,,13.00
121,Khalil Shakir,WR,BUF,7,@HOU,130,21,WR53,5.0,1,5,,72,719,4,10.0,4.5/5.9,,,,,,,137,6.0,2,10,,71,765,4,10.8,4.2/5.6,,,,,,,,13.10
122,Jalen Coker,WR,CAR,5,CHI,74,20,WR54,,,,,33,394,3,11.9,3.0/3.9,,,,,,,176,,,,,83,980,6,11.8,4.9/7.4,,,,,,,,13.20
123,Dalton Kincaid,TE,BUF,7,@HOU,107,24,TE11,,,,,39,571,5,14.6,3.3/4.1,,,,,,,142,,,,,66,791,5,12.0,3.9/5.4,,,,,,,,13.30
124,Josh Jacobs,RB,GB,11,@MIN,219,17,RB40,4.0,234,929,13,36,282,1,7.8,2.4/2.9,,,,,,,129,4.1,146,594,6,21,166,1,7.9,2.3/3.1,,,,,,,,13.40
125,Rachaad White,RB,WAS,7,@PHI,123,2,RB41,4.3,132,572,4,40,218,,5.4,2.4/2.6,,,,,,,151,4.2,144,608,4,47,308,2,6.6,2.8/3.3,,,,,,,,13.50
126,Chris Rodriguez Jr.,RB,JAX,7,CLE,91,16,RB42,4.5,112,500,6,3,30,,10.0,0.2/0.3,,,,,,,95,4.4,109,481,6,4,31,1,7.2,0.3/0.4,,,,,,,,13.60
127,Malik Willis,QB,MIA,6,@LV,51,26,QB20,5.6,22,123,2,,,,,,422,3,,86%,8.8,14.1,284,5.3,115,614,4,,,,,,3712,18,11,65%,30.8,10.8,,13.70
128,Mark Andrews,TE,BAL,13,@IND,107,3,TE12,4.8,10,48,1,48,422,5,8.8,2.8/4.1,,,,,,,166,3.4,9,28,1,66,703,9,10.7,3.9/5.4,,,,,,,,13.80
129,Dallas Goedert,TE,PHI,10,WAS,155,1,TE13,,,,,60,591,11,9.8,4.0/5.5,,,,,,,148,,,,,69,712,7,10.3,4.1/5.5,,,,,,,,13.90
130,Deebo Samuel Sr.,WR,SF,8,@LAR,152,26,WR55,4.4,17,75,1,72,727,5,10.1,4.5/6.2,,,,,,,145,4.4,24,106,1,57,694,5,12.2,3.4/5.0,,,,,,,,14.00
131,Isaiah Likely,TE,NYG,8,DAL,48,6,TE14,,,,,27,307,1,11.4,1.9/2.6,,,,,,,145,,,,,71,794,5,11.2,4.2/5.6,,,,,,,,14.10
132,Tyler Shough,QB,NO,8,@DET,158,11,QB21,4.1,45,186,3,,,,,,2384,10,6,68%,29.7,10.8,297,4.3,72,312,4,,,,,,4033,25,10,67%,33.4,10.7,,14.20
133,Jake Ferguson,TE,DAL,14,@NYG,147,10,TE15,1.0,1,1,,82,600,8,7.3,4.8/6.0,,,,,,,122,,,,,69,575,5,8.3,4.1/5.5,,,,,,,,14.30
134,Keaton Mitchell,RB,LAC,7,ARI,51,28,RB43,5.8,59,341,1,9,63,,7.0,0.7/0.9,,,,,,,99,4.7,71,331,3,27,224,2,8.3,1.6/2.2,,,,,,,,14.40
135,Rashid Shaheed,WR,SEA,11,NE,115,13,WR56,7.7,9,69,,59,687,2,11.6,3.3/5.1,,,,,,,127,6.6,12,79,1,53,623,4,11.8,3.1/5.2,,,,,,,,14.50
136,Jordyn Tyson,WR,NO,8,@DET,,6,WR57,,,,,,,,,,,,,,,,105,,,,,49,568,4,11.6,4.9/7.1,,,,,,,,14.60
