RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (FFPC),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
1,Jahmyr Gibbs,RB,DET,6,NO,328,1,1.1,RB1,5.0,243,1223,13,77,616,5,8.0,4.5/5.5,,,,,,,338,4.9,264,1306,15,71,577,4,8.1,4.2/5.4,,,,,,,67,1.10
2,Bijan Robinson,RB,ATL,11,@PIT,331,12,1.9,RB2,5.1,287,1478,7,79,820,4,10.4,4.6/6.1,,,,,,,330,4.8,291,1386,9,79,735,4,9.3,4.6/5.9,,,,,,,65,1.20
3,Ja'Marr Chase,WR,CIN,6,TB,251,8,3.1,WR1,4.7,3,14,,125,1412,8,11.3,7.8/11.6,,,,,,,260,5.1,3,17,,114,1409,10,12.4,6.7/9.9,,,,,,,64,1.30
4,Puka Nacua,WR,LAR,11,SF,311,25,4.3,WR2,10.5,10,105,1,129,1715,10,13.3,8.1/10.4,,,,,,,290,6.9,14,94,1,119,1551,10,13.0,7.0/9.8,,,,,,,62,1.40
5,Jaxon Smith-Njigba,WR,SEA,11,NE,300,13,6.3,WR3,5.1,7,36,,119,1793,10,15.1,7.0/9.6,,,,,,,276,5.2,5,27,,114,1626,9,14.2,6.7/9.6,,,,,,,62,1.50
6,Christian McCaffrey,RB,SF,8,@LAR,366,15,6.9,RB3,3.9,311,1202,10,102,924,7,9.1,6.0/7.6,,,,,0.1,,330,4.0,285,1151,11,80,726,6,9.1,4.7/6.2,,,,,,,59,1.60
7,Jonathan Taylor,RB,IND,13,BAL,339,13,9.2,RB4,4.9,323,1585,18,46,378,2,8.2,2.7/3.2,,,,,,,309,4.7,329,1539,14,47,359,2,7.6,2.8/3.5,,,,,,,59,1.70
8,James Cook III,RB,BUF,7,@HOU,286,30,11.3,RB5,5.2,309,1621,12,33,291,2,8.8,1.9/2.4,,,,,,,281,4.7,304,1441,12,39,334,2,8.6,2.3/3.1,,,,,,,55,1.80
9,Amon-Ra St. Brown,WR,DET,6,NO,266,14,7.8,WR4,3.0,3,9,,117,1401,11,12.0,6.9/10.1,,,,,,,256,5.7,2,10,,116,1373,10,11.8,6.8/9.9,,,,,,,55,1.90
10,CeeDee Lamb,WR,DAL,14,@NYG,163,10,13.7,WR5,2.0,1,2,,75,1077,3,14.4,5.4/8.4,,,,,,,243,6.0,3,20,,105,1406,8,13.4,6.2/9.4,,,,,,,53,2.00
11,Derrick Henry,RB,BAL,13,@IND,272,19,23.1,RB6,5.2,307,1595,16,15,150,,10.0,0.9/1.2,,,,,0.1,,276,4.9,311,1536,14,22,216,1,9.8,1.3/1.8,,,,,,,52,2.10
12,Saquon Barkley,RB,PHI,10,WAS,214,4,17.7,RB7,4.1,280,1140,7,37,273,2,7.4,2.3/3.1,,,,,,,248,4.3,292,1241,10,39,328,2,8.4,2.3/3.1,,,,,,,51,2.20
13,Justin Jefferson,WR,MIN,6,GB,160,2,13.4,WR6,3.5,2,7,,84,1048,2,12.5,4.9/8.3,,,,,,,247,4.2,2,7,,111,1430,8,12.9,6.5/9.9,,,,,,,51,2.30
14,Chase Brown,RB,CIN,6,TB,248,27,14.6,RB8,4.4,232,1019,6,69,437,5,6.3,4.1/5.2,,,,,,,250,4.4,237,1045,7,67,462,4,6.9,3.9/5.0,,,,,,,48,2.40
15,Kenneth Walker III,RB,KC,5,DEN,176,22,16.5,RB9,4.6,221,1027,5,31,282,,9.1,1.8/2.1,,,,,,,259,4.4,277,1227,10,51,391,2,7.7,3.0/3.8,,,,,,,46,2.50
16,Omarion Hampton,RB,LAC,7,ARI,120,28,16.9,RB10,4.4,124,545,4,32,192,1,6.0,3.6/3.9,,,,,,,251,4.3,266,1149,11,49,340,2,6.9,2.9/3.5,,,,,,,44,2.60
17,De'Von Achane,RB,MIA,6,@LV,289,20,16.8,RB11,5.7,238,1350,8,67,488,4,7.3,4.2/5.3,,,,,,,268,4.9,263,1286,6,68,518,3,7.6,4.0/5.1,,,,,,,43,2.70
18,Drake London,WR,ATL,11,@PIT,168,15,20.9,WR7,,,,,68,919,7,13.5,5.7/9.3,,,,,,,207,,,,,94,1181,7,12.6,5.5/9.2,,,,,,,41,2.80
19,George Pickens,WR,DAL,14,@NYG,245,10,27.9,WR8,,,,,93,1429,9,15.4,5.5/8.1,,,,,,,215,,,,,82,1203,9,14.7,4.8/7.5,,,,,,,41,2.90
20,A.J. Brown,WR,NE,11,@SEA,181,28,21.3,WR9,,,,,78,1003,7,12.9,5.2/8.1,,,,,,,202,,,,,78,1150,8,14.7,4.6/7.5,,,,,,,40,3.00
21,Brock Bowers,TE,LV,13,MIA,144,18,6.1,TE1,1.0,2,2,,64,680,7,10.6,5.3/7.2,,,,,,,204,4.0,6,24,,99,1041,8,10.5,5.8/8.3,,,,,,,38,3.10
22,Chris Olave,WR,NO,8,@DET,218,6,28.3,WR10,-3.0,1,-3,,100,1163,9,11.6,6.3/9.8,,,1,,0.1,,192,,,,,84,1078,7,12.8,4.9/7.9,,,,,,,38,3.20
23,Nico Collins,WR,HOU,8,BUF,191,3,25.8,WR11,7.5,2,15,1,71,1117,6,15.7,4.7/8.0,,,,,,,212,6.5,2,11,,84,1206,8,14.4,4.9/7.9,,,,,,,36,3.30
24,Kyren Williams,RB,LAR,11,SF,245,8,35.8,RB12,4.8,259,1252,10,36,281,3,7.8,2.1/2.9,,,,,,,226,4.6,248,1133,11,29,201,2,6.9,1.7/2.4,,,,,,,35,3.40
25,Javonte Williams,RB,DAL,14,@NYG,225,5,38.1,RB13,4.8,252,1201,11,35,137,2,3.9,2.2/3.2,,,,,,,232,4.4,279,1216,10,35,205,2,5.9,2.1/2.8,,,,,,,35,3.50
26,Ashton Jeanty,RB,LV,13,MIA,218,32,12.4,RB14,3.7,266,975,5,55,346,5,6.3,3.2/4.3,,,,,,,226,4.1,237,979,7,59,442,2,7.5,3.9/5.1,,,,,,,34,3.60
27,Malik Nabers,WR,NYG,8,DAL,48,9,30.7,WR12,,,,,18,271,2,15.1,4.5/8.8,,,,,,,186,,,,,79,1041,7,13.2,4.9/8.2,,,,,,,33,3.70
28,Trey McBride,TE,ARI,14,@LAC,253,19,13.7,TE2,,,,,126,1239,11,9.8,7.4/9.9,,,,,,,196,,,,,109,1053,6,9.7,6.4/8.9,,,,,,,32,3.80
29,Travis Etienne Jr.,RB,NO,8,@DET,236,3,40.9,RB15,4.3,260,1107,7,36,292,6,8.1,2.1/3.1,,,,,,,220,4.3,249,1063,7,47,361,2,7.7,2.8/3.7,,,,,,,31,3.90
30,Devonta Smith,WR,PHI,10,WAS,163,1,31.3,WR13,,,,,77,1008,4,13.1,4.5/6.6,,,,,,,201,,,,,86,1099,8,12.8,5.1/7.6,,,,,,,30,4.00
31,Ladd McConkey,WR,LAC,7,ARI,148,31,38.9,WR14,,,,,66,789,6,12.0,4.1/6.6,,,,,,,180,,,,,78,987,7,12.7,4.6/7.1,,,,,,,30,4.10
32,Zay Flowers,WR,BAL,13,@IND,200,19,34.9,WR15,6.2,10,62,1,86,1211,5,14.1,5.1/6.9,,,,,,,216,6.1,10,62,1,85,1197,7,14.1,5.0/7.4,,,,,,,30,4.20
33,Breece Hall,RB,NYJ,13,@TEN,190,23,29.7,RB16,4.4,243,1065,4,36,350,1,9.7,2.3/3.0,4,1,,100%,0.1,4.0,230,4.4,255,1114,6,52,447,2,8.6,3.1/3.9,,,,,,,30,4.30
34,Tee Higgins,WR,CIN,6,TB,182,8,41.9,WR16,,,,,59,846,11,14.3,3.9/6.5,,,,,,,195,,,,,79,1017,9,12.9,4.6/7.6,,,,,,,29,4.40
35,D'Andre Swift,RB,CHI,10,@CAR,212,26,50.5,RB17,4.9,223,1087,9,34,299,1,8.8,2.1/3.0,,,,,,,208,4.6,239,1092,8,32,287,1,9.1,1.9/2.6,,,,,,,28,4.50
36,Josh Jacobs,RB,GB,11,@MIN,219,17,39.5,RB18,4.0,234,929,13,36,282,1,7.8,2.4/2.9,,,,,,,243,4.1,266,1085,13,39,309,1,7.9,2.3/2.9,,,,,,,28,4.60
37,Jeremiyah Love,RB,ARI,14,@LAC,,25,27.7,RB19,,,,,,,,,,,,,,,,215,4.4,209,920,7,55,419,2,7.6,3.2/4.2,,,,,,,28,4.70
38,Josh Allen,QB,BUF,7,@HOU,365,20,38.5,QB1,5.2,112,579,14,,,,,,3668,25,10,69%,27.1,11.5,388,5.1,114,586,13,,,,,,4078,27,10,67%,30.4,11.6,27,4.80
39,Rashee Rice,WR,KC,5,DEN,124,30,27,WR17,4.0,5,20,1,53,571,5,10.8,6.6/9.8,,,,,,,217,4.7,7,32,,100,1156,8,11.6,5.9/8.6,,,,,,,27,4.90
40,Garrett Wilson,WR,NYJ,13,@TEN,82,23,37.5,WR18,,,,,36,395,4,11.0,5.1/8.4,,,,,,,191,5.2,2,9,,95,1064,6,11.2,5.6/8.7,,,,,,,26,5.00
41,Emeka Egbuka,WR,TB,10,@CIN,164,11,35.5,WR19,4.5,2,9,,63,938,6,14.9,3.7/7.5,,,,,,,168,5.7,2,10,,62,943,7,15.3,3.6/6.4,,,,,,,26,5.10
42,Jaylen Waddle,WR,DEN,10,@KC,162,29,41.6,WR20,14.0,2,28,,64,910,6,14.2,4.0/6.3,8,,,100%,0.1,8.0,187,5.4,3,18,,79,1038,7,13.1,4.6/7.6,,,,,,,25,5.20
43,Davante Adams,WR,LAR,11,SF,193,25,57.8,WR21,,,,,60,789,14,13.2,4.3/8.1,,,,,,,182,,,,,67,884,10,13.2,3.9/7.1,,,,,,,24,5.30
44,Colston Loveland,TE,CHI,10,@CAR,136,30,21.5,TE3,-2.0,1,-2,,58,713,6,12.3,3.6/5.1,,,,,,,168,,,,,81,914,6,11.3,4.8/7.3,,,,,,,24,5.40
45,Luther Burden III,WR,CHI,10,@CAR,104,27,46.3,WR22,6.2,6,37,,47,652,2,13.9,3.1/4.0,,,,,,,187,5.5,7,37,,79,1021,7,12.9,4.6/7.5,,,,,,,24,5.50
46,Jameson Williams,WR,DET,6,NO,187,14,59.8,WR23,2.0,6,12,,65,1117,7,17.2,3.8/6.0,,,,,,,187,6.0,7,41,1,63,1029,7,16.3,3.7/6.2,,,,,,,24,5.60
47,Bucky Irving,RB,TB,10,@CIN,124,18,54.5,RB20,3.4,173,588,1,30,277,3,9.2,3.0/3.5,,,,,,,195,4.1,241,986,6,37,299,2,8.1,2.2/2.7,,,,,,,24,5.70
48,Terry Mclaurin,WR,WAS,7,@PHI,95,16,49.7,WR24,,,,,38,582,3,15.3,3.8/6.0,,,,,,,173,,,,,74,995,6,13.5,4.4/6.6,,,,,,,23,5.80
49,Tetairoa McMillan,WR,CAR,5,CHI,176,20,41.9,WR25,,,,,70,1014,7,14.5,4.1/7.2,,,,,,,194,,,,,79,1123,7,14.2,4.6/7.8,,,,,,,23,5.90
50,DJ Moore,WR,BUF,7,@HOU,145,21,50.7,WR26,5.3,15,79,1,50,682,6,13.6,2.9/5.0,2,1,,100%,0.1,2.0,163,5.2,5,27,,66,915,6,13.9,3.9/6.2,,,,,,,22,6.00
